slug,name,logoPath,description,website,docs,x,github,discord,telegram,linkedin,supportEmail,starred,tag
abdk,ABDK,abdk.png,"Founded in 2016, ABDK is a top Web3 security provider specializing in smart contract audits and zero-knowledge circuit audits. They have audited DeFi protocols, crafted Solidity libraries, and consulted dozens of clients","https://abdk.consulting/portfolio",,,abdk-consulting,,,,,FALSE,
abi-parser,ABI Parser,abi-parser.png,It interprets a smart contract's Application Binary Interface to enable human-readable interaction and seamless data exchange between off-chain applications and the blockchain,"https://abi-parser-nvk.vercel.app/",,,,,,,,FALSE,
account-smart-wallet,Account Smart Wallet,account-smart-wallet.png,With the Base Account SDK you can connect to over one hundred thousand users and unlock authentication and payments with just a few lines of code,"https://www.base.org/","https://docs.base.org/base-account/overview/what-is-base-account",,base/account-sdk,,,,,FALSE,
across,Across,across.png,"Intents-based cross-chain bridge protocol using competitive relayers and optimistic verification to provide fast, low-cost token transfers across EVM networks.","https://across.to/","https://docs.across.to/",AcrossProtocol,across-protocol,,acrosstg,,company/across-protocol,FALSE,
acurast,Acurast,acurast.png,"Oracle and computation protocol enabling off-chain data verification and computation with on-chain settlement","https://acurast.com/","https://docs.acurast.com/",Acurast,Acurast,invite/acurast,acurastnetwork,,,FALSE,
aegis-web3,AegisWeb3,aegis-web3.png,"Real-time browser extension that protects users from scam tokens, phishing sites, and risky transactions across multiple blockchains. Incubated by PeckShield","https://www.aegisweb3.com/",,AegisWeb3,,,+i6uiSjWwiKxjMTZk,,,FALSE,
aibtc,Aibtc,aibtc.png,"Bitcoin-native MCP server platform for AI agents with BTC/STX wallets, DeFi yield, sBTC peg, NFTs, and x402 payments","https://github.com/aibtcdev/aibtc-mcp-server",,aibtcdev,aibtcdev/aibtc-mcp-server,,,,,FALSE,
airgap,AirGap,airgap.png,Air-gapped cold wallet solution enabling offline key management with QR code-based transaction signing,"https://airgap.it/","https://support.airgap.it/",AirGap_it,airgap-it,MG4jUEAJMr,AirGap,,hi@airgap.it,FALSE,
airtm,AirTM,airtm.png,"Digital dollar wallet and peer-to-peer payment network operating in 190+ countries, enabling users to send, receive, convert, and withdraw USDC-backed funds using 500+ local payment methods.","https://www.airtm.com/","https://help.airtm.com/en/support/home",,,,,,support@airtm.com,FALSE,
akave,Akave,akave.png,"S3-compatible object storage backed by Filecoin, with immutable audit trails, zero-egress options, and enterprise controls for data-intensive workloads.","https://akave.com/","https://docs.akave.xyz/",akavenetwork,akave-ai,,akavenetwork,company/akavecloud,support@akave.ai,FALSE,
alchemy,Alchemy,alchemy.png,"Blockchain developer platform providing APIs, SDKs, and infrastructure for building and scaling decentralized applications, with products covering RPC nodes, embedded wallets, and onchain data.","https://www.alchemy.com","https://www.alchemy.com/docs",Alchemy,alchemyplatform,9GnAcXQYZ6,,company/alchemyinc,support@alchemy.com,FALSE,
alchemy-pay,Alchemy Pay,alchemy-pay.png,"Fiat-to-crypto payment gateway connecting traditional fiat currencies with digital assets for businesses, developers, and users globally.","https://alchemypay.org/",,,Alchemy-Pay,,,,,FALSE,
aleph-cloud,Aleph Cloud,aleph-cloud.png,"it leverages advanced cryptography and hardware-based attestation to provide verifiable security, supporting enterprise-grade compliance for industries such as finance, gaming, and AI","https://aleph.cloud","https://docs.aleph.cloud/",aleph_im,aleph-im,,,company/aleph-cloud,,FALSE,
algo-surf,Algo Surf,algo-surf.png,"Algorand blockchain explorer for inspecting accounts, transactions, blocks, assets, and applications across multiple Algorand networks.","https://algo.surf/",,Algo_Surf,d13co/algo.surf,,,,,FALSE,
algo-wallet,algo-wallet,algo-wallet.png,"Mandate-governed Algorand wallet infrastructure for autonomous AI agents to make x402 USDC payments with owner-defined transaction and daily spending limits.","https://ai-agentic-wallet.com/","https://ai-agentic-wallet.com/docs",,m-reynaldo35/x402-mcp,,,,,FALSE,"[""Algorand"",""AI agents"",""x402""]"
algogazer,AlgoGazer,algogazer.png,"Mobile-friendly Algorand blockchain explorer for browsing accounts, transactions, blocks, applications, assets, NFTs, and historical activity.","https://algogazer.app/",,AlgoGazer,,VJyVc7bUJz,,,,FALSE,
algorand,Algorand,algorand.png,"Layer-1 blockchain using Pure Proof-of-Stake consensus, providing 10,000 TPS with instant finality and no rollbacks, with developer tools supporting Python and TypeScript via AlgoKit, targeting DeFi, tokenization, payments, and supply chain applications.","https://algorand.co/","https://dev.algorand.co/",AlgoFoundation,algorand,invite/algorand,,company/algorandfoundation,,FALSE,
alixpay,Alix Pay,alixpay.png,"Fiat-to-crypto on-ramp and off-ramp provider offering API, widget, and checkout integrations for businesses across global markets.","https://alixpay.com/","https://aliniex.gitbook.io/alix-pay",AliXPayGlobal,,,,company/alixpay,business@alixpay.com,FALSE,
allbridge-core,Allbridge Core,allbridge-core.png,"Cross-chain bridge protocol enabling wrapped asset transfers between multiple blockchains with multi-signature security","https://allbridge.io/","https://docs-core.allbridge.io/",Allbridge_io,allbridge-io,TY4AHMkyv8,allbridge_official,,,FALSE,
alldomains,AllDomains,alldomains.png,"Web3 domain name platform for registering, creating, and trading customizable top-level domain identities on Solana and other SVM-compatible chains","https://alldomains.id/","https://docs.alldomains.id/protocol",,onsol-labs,,AllDomainsID,,,FALSE,
allo,Allo,allo.png,"Algorand blockchain explorer displaying blocks, transactions, assets, and network metrics, with quick-access links to developer resources and the official Algorand developer portal","https://allo.info/",,alloinfo,,w4ZZbp9qpk,,,,FALSE,
alloy,Alloy,alloy.png,"Rust library ecosystem for interacting with Ethereum and other EVM-compatible blockchains through providers, signers, contract bindings, JSON-RPC types, and network abstractions.","https://alloy.rs/","https://alloy.rs/introduction/getting-started",,alloy-rs,,,,,FALSE,
allthatnode,AllThatNode,allthatnode.png,"Multi-chain blockchain data-as-a-service by DSRV, providing node APIs and RPC endpoints across 30+ networks with archive data access and an analytics dashboard.","https://www.allthatnode.com","https://docs.allthatnode.com/docs/welcome-to-all-that-node",,,,,,,FALSE,
alltrust-me,AllTrust.me,alltrust-me.png,Licensed Georgian crypto exchange for buying and selling major cryptocurrencies online and offline,"https://alltrust.me/en",,,,,AllTrustMe_Ge,company/alltrustme,,FALSE,
alphawallet,Alphawallet,alphawallet.png,"Mobile wallet application providing direct access to decentralized applications and token management across multiple blockchains","https://alphawallet.com/","https://alphawallet.com/for-developer/",alphawallet,AlphaWallet,,AlphaWalletGroup,company/alphawallet,feedback@alphawallet.com,FALSE,
altitude,Altitude,altitude.png,"Composable cross-chain asset bridge built on LayerZero, offering secured guaranteed finality, zero impermanent loss via single-sided liquidity pools, and a fixed 0.05% bridging fee.","https://altitudedefi.com/","https://altitude-1.gitbook.io/altitude",,,,,,,FALSE,
ambire,Ambire,ambire.png,"Self-custody browser extension wallet for all EVM networks, featuring account abstraction (sponsored transactions, no approval popups), open-source, audited, and privacy-respecting.","https://www.ambire.com/","https://help.ambire.com/en/",ambire,AmbireTech,ambire,AmbireOfficial,company/ambiretech,contactus@ambire.com,FALSE,
ankr,Ankr,ankr.png,"Web3 infrastructure provider offering RPC API endpoints, blockchain scaling solutions (rollups/sidechains), and staking services across 70+ networks","https://www.ankr.com/","https://www.ankr.com/docs/",ankr,Ankr-network,,ankrnetwork,company/ankr,info@ankr.com,FALSE,
anyalt,AnyAlt,anyalt.png,"SDK and pre-built widget enabling developers to integrate cross-chain token swaps and last-mile transaction execution into Web3 applications, with customizable UI and multi-chain support.","https://www.anyalt.finance/","https://docs.anyalt.finance/sdk/overview",,,,,,,FALSE,
apeworx,ApeWorx,apeworx.png,"Software company providing developer tools for smart contract engineers and data scientists, including the Ape Framework (Python-based EVM development environment), Silverback (automation), and ApePay (subscription payments).","https://www.apeworx.io/","https://docs.apeworx.io/",ApeFramework,ApeWorX,,,,,FALSE,
api3,API3,api3.png,"Decentralized oracle protocol providing tamper-proof data feeds with oracle extractable value (OEV) rewards for application developers","https://api3.org/","https://docs.api3.org/",api3dao,api3dao,api3dao,API3DAO,,,FALSE,
apillon,Apillon,apillon.png,"Web3 development platform providing NFT storage, authentication, and blockchain infrastructure tools","https://apillon.io/",,,Apillon,,,,,FALSE,
aptos,Aptos,aptos.png,"Layer-1 blockchain built by the Aptos Foundation using the Move programming language, designed for sub-second finality and high throughput, with a full developer toolchain including TypeScript, Python, Go, and Rust SDKs, a CLI, and an indexer.","https://aptos.dev/","https://aptos.dev/build/indexer",AptosLabs,aptos-labs,invite/aptosnetwork,aptos,company/aptos-foundation,,FALSE,
arbitrum,Arbitrum,arbitrum.png,"Ethereum Layer 2 scaling solution using Optimistic Rollups to enable fast, low-cost smart contract execution and transaction settlement","https://arbitrum.io/","https://docs.arbitrum.io/",arbitrum,OffchainLabs,ZpZuw7p,,,,FALSE,
arbitrum-python-sdk,Arbitrum Python SDK,arbitrum-python-sdk.png,Python library providing essential helper functionality and direct access to smart contract interfaces for client-side interactions with Arbitrum networks.,"https://github.com/justmert/arbitrum-python-sdk","https://arbitrum-python-sdk.readthedocs.io/en/latest/",,justmert/arbitrum-python-sdk,,,,,FALSE,
argot,Argot Collective,argot.png,"Non-profit independent research and development collective maintaining critical Ethereum programming languages and developer tooling, including Solidity, hevm, Fe, Sourcify, and Act.","https://www.argot.org/",,argotorg,argotorg,,,,hello@argot.org,FALSE,
arianee,Arianee,arianee.png,"Open-source blockchain protocol for creating and managing tokenized Digital Product Passports (DPPs) as NFTs, enabling product authenticity, lifecycle tracking, and brand-customer engagement.","https://www.arianee.org","https://docs.arianee.org/",ArianeeProject,Arianee,JQXUPxqRPR,,company/arianee,hello@arianee.org,FALSE,
arkham,Arkham,arkham.png,"On-chain intelligence platform combining blockchain wallet analytics and address labeling with an integrated crypto trading exchange, used by institutions for real-time market analysis","https://arkm.com/","https://codex.arkm.com/",,,,,,,FALSE,
artemis,Artemis,artemis.png,"Open data and analytics platform standardizing financial and onchain metrics for blockchains, tokens, stablecoins, prediction markets, and equities through a terminal, spreadsheet integrations, APIs, and Snowflake data shares.","https://about.artemis.ai/","https://www.artemis.ai/docs/welcome/overview",artemis,Artemis-xyz,,,company/artemis-xyz,team@artemis.xyz,FALSE,
arweave,Arweave,arweave.png,"A permanent and decentralized storage network that preserves data long-term through an incentivized peer-to-peer ledger system, similar to Bitcoin but for immutable data","https://arweave.org/","https://docs.arweave.org/developers",arweaveeco,ArweaveTeam,GHB4fxVv8B,,,,FALSE,
ascoin,AScoin,ascoin.png,"Mobile wallet and payment platform supporting Bitcoin, Ethereum, and ERC-20 tokens","https://www.ascoin.pro/",,,,,,,,FALSE,
assemblyscript,AssemblyScript,assemblyscript.png,"TypeScript-like language that compiles to WebAssembly, offering low-level control over generated code, familiar TypeScript syntax, and npm-based integration without heavy toolchain setup.","https://www.assemblyscript.org/","https://www.assemblyscript.org/introduction.html",AssemblyScript,AssemblyScript,assemblyscript,,,,FALSE,
assetux,Assetux,assetux.png,"Web3 ecosystem offering multi-chain token swaps and fiat-to-crypto on-ramp via Visa and Mastercard across 25+ EVM networks and Solana through its Exchange product.","https://assetux.com/","https://assetux.gitbook.io/assetux/",assetux,assetux,,assetux_en,,support@assetux.com,FALSE,
astar,Astar,astar.png,"Polkadot parachain with multi-VM support (EVM and WASM), Ink! and Rust smart contracts, dApp staking, and Superchain integration with Soneium for cross-layer Web3 application development.","https://astar.network/","https://docs.astar.network/",AstarNetwork,AstarNetwork,,PlasmOfficial,,,FALSE,
asterizm,Asterizm,asterizm.png,"Omnichain interoperability infrastructure for cross-chain asset transfers, DeFi bridges, NFT bridges, and RWA issuance, designed for enterprises and DeFi protocols.","https://asterizm.io/","https://docs.asterizm.io/",Asterizm_layer,Asterizm-Protocol,,asterizm_protocol,,,FALSE,
atomic,Atomic,atomic.png,"Non-custodial multi-asset crypto wallet supporting 1000+ coins and tokens, with built-in swap, buy, staking, and NFT management, trusted by 15 million users worldwide.","https://atomicwallet.io","https://support.atomicwallet.io/",atomicwallet,Atomicwallet,,AtomicWalletNews,,,FALSE,
audit-base,AuditBase,audit-base.png,"AuditBase is a smart contract audit tool offering three-layer automated analysis (static analysis, symbolic execution, AI reasoning) with compliance-ready output. Trusted by institutional teams managing $50B+ in digital assets across 500+ protocols. Provides quantified risk scores, MiCA documentation, and SOC 2 compliance.","https://www.auditbase.com/","https://docs.auditbase.com/",AuditBase_,auditbase,,,company/auditbase,,FALSE,
automata,Automata,automata.png,"Hardware trust infrastructure providing on-demand TEE attestation using Intel SGX/TDX and AMD SEV-SNP, securing rollups, private AI workloads, and DeFi protocols via verifiable off-chain computation.","https://www.ata.network/","https://docs.ata.network/understanding-automata/what-is-automata",AutomataNetwork,automata-network,,,,,FALSE,
avalabs,Ava Labs,avalabs.png,"Company behind the Avalanche blockchain, maintaining AvalancheGo (the primary node client), developer SDKs, CLI tooling, and the Avalanche Builder Hub providing documentation, grants, and ecosystem resources.","https://www.avalabs.org/","https://build.avax.network/docs/primary-network",avalabs,ava-labs,,,company/avalabsofficial,,FALSE,
avalanche-builder-hub,Avalanche,avalanche-builder-hub.png,"Official developer hub by Ava Labs providing documentation, developer tools, grant opportunities, and ecosystem resources for building on Avalanche.","https://build.avax.network/","https://build.avax.network/docs/primary-network",AvaxDevelopers,ava-labs,avax,+KDajA4iToKY2ZjBk,company/avalancheavax,,FALSE,
avascan,Avascan,avascan.png,"Avalanche network explorer and API service for browsing blockchains, transactions, validators, delegators, assets, and smart contracts across the Avalanche ecosystem","https://avascan.info/","https://docs.avascan.info/",AvascanExplorer,avascan,,avascansupportbot,,,FALSE,
avnu,AVNU,avnu.png,"Starknet-native DeFi provider offering swap and gasless transaction infrastructure, including AVNU Paymaster for sponsored transaction fees.","https://www.avnu.fi/","https://github.com/avnu-labs/paymaster",avnu_fi,avnu-labs,,,,,FALSE,
axelar,Axelar,axelar.png,"Cross-chain interoperability network enabling tokenization, trading, and DeFi yield across 15+ blockchains, secured by 75+ validators with zero exploits.","https://www.axelar.network/","https://docs.axelar.dev/",axelarnetwork,axelarnetwork,aRZ3Ra6f7D,axelarcommunity,company/axelarnetwork,,FALSE,
aztec,Aztec,aztec.png,"Privacy-first zk-rollup Layer 2 on Ethereum providing programmable privacy via zero-knowledge proofs, client-side proving in a Private Execution Environment (PXE), configurable public and private state, and the Noir domain-specific language for ZK smart contracts.","https://aztec.network/","https://docs.aztec.network/",aztecnetwork,AztecProtocol,aztec,,,,FALSE,
backpack,Backpack,backpack.png,"All-in-one crypto exchange and self-custody wallet offering spot and futures trading, lending, and portfolio management in a single application.","https://backpack.app/","https://docs.backpack.app/",Backpack,coral-xyz,backpack,,company/backpackexchange,,FALSE,
bakkenbaeck-bastion-digital,"Bakkenbaeck, Bastion Digital",bakkenbaeck-bastion-digital.png,"Developer studio behind Tonscan, an open-source blockchain explorer for The Open Network (TON) displaying transactions, addresses, and network statistics.","https://tonscan.org/",,,,,,,,FALSE,
band-protocol,Band Protocol,band-protocol.png,"Decentralized oracle and data layer for AI and Web3, providing real-time financial data feeds, verifiable random functions (VRF), and AI knowledge enrichment across 40+ chains.","https://www.bandprotocol.com/","https://docs.bandchain.org/",bandprotocol,bandprotocol,,bandprotocol,,,FALSE,
banxa,Banxa,banxa.png,"Fiat-to-crypto payment infrastructure offering on-ramp and off-ramp services via hosted checkout or REST API, with KYC/AML compliance and order management support.","https://banxa.com/","https://docs.banxa.com/docs/overview",banxaofficial,,,,company/banxa-com,,FALSE,
base,Base,base.png,"Ethereum Layer 2 blockchain incubated by Coinbase, built on the OP Stack to provide low-cost, developer-friendly infrastructure for onchain applications.","https://www.base.org/","https://docs.base.org/get-started/base",base,base,buildonbase,,company/buildonbase,,FALSE,
base-pay-desk,Base Pay Desk,base-pay-desk.png,"Open-source Base ETH payment-link builder for merchants, creators, agencies, and service sellers that creates shareable checkout links, setup briefs, and buyer-ready payment messages.","https://oskarasi.github.io/base-pay-desk-site/","https://github.com/oskarasi/base-pay-desk-site",,oskarasi/base-pay-desk-site,,,,,FALSE,
beaconcha-in,Beaconcha.in,beaconcha-in.png,"Open-source Ethereum consensus-layer explorer tracking validators, epochs, slots, and staking performance, with integrated execution-layer data and a mobile app for validator monitoring.","https://beaconcha.in/","https://docs.beaconcha.in/api/overview",beaconcha_in,,,,,,FALSE,
beans-app,Beans App,beans-app.png,"DeFi savings platform that connects users with stablecoin borrowers, allowing deposits in USDC and EURC to earn yield from decentralized lending markets.","https://www.beansapp.com/",,BeansApp,,GPaNsZrcdP,,company/beans-bv,info@beansapp.com,FALSE,
belo,Belo,belo.png,"Custodial digital wallet for Latin American users supporting fiat and cryptocurrency deposits, withdrawals, conversions, cross-border transfers, and everyday payments.","https://www.belo.app/","https://help.belo.app/en/",belo_app,,,,company/belo-app,,FALSE,
beosin,Beosin,beosin.png,"A leading global Web3 security company offering comprehensive smart contract audits, risk monitoring, KYT (Know Your Transaction) compliance, and crypto asset tracing services.","https://beosin.com/",,Beosin_com,,,,,contact@beosin.com,FALSE,
berachain,Berachain,berachain.png,Layer 1 blockchain powered by Proof-of-Liquidity consensus providing EVM-compatible infrastructure for Web3 developers and users,"https://berachain.com/","https://docs.berachain.com/",berachain,berachain,berachain,berachain,,,FALSE,
beryx,Beryx,beryx.png,"Filecoin blockchain explorer and public API by Zondax that indexes historical and real-time network data, supporting FVM contract interaction, address conversion, contract verification, and a Calibration testnet faucet.","https://beryx.io/",,,,,,,,FALSE,
biconomy,Biconomy,biconomy.png,"Full-stack Web3 infrastructure provider offering ERC-7579 smart accounts (Nexus), gasless transactions, cross-chain orchestration via a Modular Execution Environment, and composable batching to simplify multi-chain application development.","https://www.biconomy.io/","https://docs.biconomy.io/overview/introduction",biconomy,bcnmy,biconomy,,company/biconomy,,FALSE,
bifrost,Bifrost,bifrost.png,"Self-custody multi-chain crypto wallet supporting DeFi, NFT management, and Web3 interactions, designed for accessibility across multiple blockchain networks.","https://bifrostwallet.com/",,,,,bifrostwalletcom,,,FALSE,
binance,Binance,binance.png,"Global cryptocurrency exchange and ecosystem offering spot and futures trading, and the Binance Web3 Wallet for self-custody multi-chain DeFi access supporting ERC-20, BEP-20, BRC-20, and other token standards.","https://www.binance.com/","https://developers.binance.com/en/docs/",binance,binance,,,company/binance,,FALSE,
bisq,Bisq,bisq.png,"Decentralized peer-to-peer exchange network for buying and selling Bitcoin with national currencies or other cryptocurrencies using open-source software, self-custody, and multisignature escrow.","https://bisq.network/","https://bisq.wiki/",bisq_network,bisq-network,,bisq_p2p,,freesofware@proton.me,FALSE,
bitbond-token-tool,Bitbond Token Tool,bitbond-token-tool.png,Asset tokenization platform providing tools and infrastructure for creating and managing tokenized digital assets on blockchain networks,"https://tokentool.bitbond.com/","https://docs.bitbond.com/asset-tokenization-suite",Bitbond,bitbond,,,,service@bitbond.com,FALSE,
bitcoin-com,Bitcoin.com,bitcoin-com.png,"Platform offering a self-custody crypto wallet, exchange, news, educational resources, and games centered around Bitcoin and cryptocurrency.","https://www.bitcoin.com/",,bitcoincom,,bitcoin-com,GetVerse/1,company/bitcoin.com,,FALSE,
bitget,Bitget,bitget.png,"Self-custody Web3 crypto wallet supporting tokens across 130+ blockchains, featuring one-click swaps at low fees, automated earnings, MPC and smart wallet security, and instant global transfers.","https://web3.bitget.com/en","https://web3.bitget.com/en/docs",BitgetWallet,bitgetwallet,,,,,FALSE,
bitgo,BitGo,bitgo.png,"Digital asset infrastructure company providing institutional custody, prime trading and financing, wallet APIs, staking, and stablecoin issuance services, with over $104B in assets on platform since 2013.","https://www.bitgo.com/","https://developers.bitgo.com/",BitGo,BitGo,,,company/bitgo,support@bitgo.com,FALSE,
bithomp,Bithomp,bithomp.png,"Bithomp is an XRPL explorer and toolkit used by cryptocurrency exchanges, launched in 2015 with a focus on user-friendly XRP Ledger exploration.","https://bithomp.com/","https://docs.bithomp.com/#introduction",,Bithomp,,,,,FALSE,
bitpie,BitPie,bitpie.png,"Multi-currency crypto wallet supporting Bitcoin, Ethereum, and EVM-compatible blockchains","https://bitpie.com/",,,,,,,,FALSE,
bitquery,Bitquery,bitquery.png,"Blockchain data API platform providing historical and real-time indexed data for 40+ blockchains through GraphQL, WebSocket, SQL, and cloud provider integrations.","https://bitquery.io/","https://docs.bitquery.io/",Bitquery_io,bitquery,,bloxy_info,company/bitquery,support@bitquery.io,FALSE,
bitzaro,Bitzaro,bitzaro.png,"Bitzaro provides fiat-to-crypto on-ramp infrastructure, crypto wallets and cards, and business payment tools including white-label widgets, payment links, invoicing, compliance screening, and wallet settlement.","https://www.bitzaro.com/","https://bitzaro.readme.io/",bitzaroapp,,,bitzaropay,company/bitzaro,,FALSE,
blaze,Blaze,blaze.png,"Stablecoin payments and wallet platform providing virtual accounts and on/off-ramp API infrastructure for global transfers and commerce.","https://blaze.money/","https://docs.blaze.money/overview",blaze_payments,,,,,hello@blaze.money,FALSE,
bleap,Bleap,bleap.png,"European non-custodial payment app and crypto ramp with MiCA-aligned euro rails, offering 1:1 Euro conversion and zero-fee bank transfers.","https://bleap.finance/","https://help.bleap.finance/",BleapApp,,,+x9IHkcVqcxcyNjVk,company/bleapapp,support@bleap.finance,FALSE,
blockaid,Blockaid,blockaid.png,"It is the real-time detection platform purpose-built for web3 builders and operators to measure performance, mitigate risk, and prevent theft","https://www.blockaid.io/",,blockaid_,,,+GXmteLocFPs5ZWY8,company/blockaid,,FALSE,
blockbolt,Blockbolt,blockbolt.png,"Decentralized multichain crypto payment protocol enabling merchants to accept cryptocurrency payments via POS terminals, SDKs, APIs, and a commerce platform with low transaction fees.","https://blockbolt.io/","https://docs.blockbolt.io/",blockboltpay,,,,,,FALSE,
blockbucket,BlockBucket,blockbucket.png,Multi-sender tool and dApp that enables batch transfers and airdrops of ERC-20 tokens in a single transaction.,"https://blockbucket.io/",,,blockrockettech,,,,,FALSE,
blockchain-com,Blockchain.com,blockchain-com.png,"Crypto finance company operating since 2011 offering a self-custody wallet, exchange, block explorer, and APIs for retail and institutional users.","https://www.blockchain.com/","https://www.blockchain.com/explorer/api",,,,,,,FALSE,
blockchair,Blockchair,blockchair.png,"Multi-chain blockchain search engine and explorer supporting 40+ networks, with a developer API, address clustering, and privacy-focused transaction analytics.","https://blockchair.com/","https://blockchair.com/api/docs",,,,,,,FALSE,
blockcypher,BlockCypher,blockcypher.png,"Cloud-optimized block explorer and blockchain web services provider offering robust APIs for Bitcoin, Ethereum, and other major networks.","https://www.blockcypher.com/","https://www.blockcypher.com/dev/",blockcypher,blockcypher,,,,,FALSE,
blockdaemon,Blockdaemon,blockdaemon.png,"Institutional blockchain infrastructure provider offering secure node management, validator staking, and RPC/REST APIs across 70+ proof-of-stake networks, with ISO 27001 certification, SOC 2 Type II compliance, and 100% slashing-risk coverage.","https://www.blockdaemon.com/","https://docs.blockdaemon.com/docs/homepage-guides",BlockdaemonHQ,Blockdaemon,,,company/blockdaemon,support@blockdaemon.com,FALSE,
blockeden,BlockEden,blockeden.png,"A robust multi-chain Web3 developer platform offering high-performance API/RPC and GraphQL access across Aptos, Sui, Solana, and dozens of EVM blockchains.","https://blockeden.xyz/",,BlockEdenHQ,BlockEdenHQ,eWZvE4RSBw,,in/dora-noda-35952622a,info@blockeden.xyz,FALSE,
blockexplorer-one,Blockexplorer.one,blockexplorer-one.png,"Multi-chain blockchain explorer operated by CryptoAPIs, enabling address and transaction lookup across multiple blockchain networks.","https://blockexplorer.one/",,,,,,,,FALSE,
blockpi,BlockPi,blockpi.png,"Globally distributed blockchain infrastructure provider offering high-performance RPC services, dedicated nodes, and account abstraction support across 70+ networks.","https://blockpi.io/","https://docs.blockpi.io/pricing/pricing-and-rate-limit",RealBlockPI,BlockPILabs/official-docs,xTvGVrGVZv,blockpidaily,,,FALSE,
blockscan,Blockscan,blockscan.png,"Multichain explorer and portfolio analytics product from the team behind Etherscan, supporting address search, transaction tracking, cross-chain activity, and Web3 address messaging across 30+ chains.","https://blockscan.com/",,,,,,,,FALSE,
blockscout,Blockscout,blockscout.png,"Open-source multichain block explorer with smart contract verification, token tracking, and cross-chain address search, deployable as Explorer-as-a-Service for any EVM or non-EVM network.","https://www.blockscout.com/","https://docs.blockscout.com/",blockscout,blockscout,,blockscoutcommunity,,,FALSE,
blocksec-phalcon,Blocksec Phalcon,blocksec-phalcon.png,"Web3 security platform offering smart contract audits, real-time threat monitoring, and exploit prevention","https://blocksec.com/","https://docs.blocksec.com/",blocksecteam,blocksecteam,,BlockSecTeam,company/blocksec,contact@blocksec.com,FALSE,
blockvision,BlockVision,blockvision.png,"Web3 data and node infrastructure providing high-availability RPC access with archive data, mempool monitoring, Flashbot bundle support, and DeFi portfolio indexing.","https://blockvision.org/","https://docs.blockvision.org/reference/welcome-to-blockvision",blockvisionhq,block-vision,invite/J6Vm2W8JRj,,,,FALSE,
