slug,provider,offer,actionButtons,toolType,tag,price,planType,planName,description,starred
btfs,BTFS,,"[""[Website](https://www.btfs.io/)""]",Storage,"[""Decentralized File Storage""]",125BTT GB/Day,Pay-As-You-Go,,It is a next-generation decentralized file storage system built for enterprise-level Web3 applications and AI,FALSE
cidgravity-advanced,CIDgravity,,"[""[Contact](https://www.cidgravity.com/pricing)"",""[Docs](https://docs.cidgravity.com/)""]",Storage,"[""Filecoin"",""File storage"",""Dedicated gateway"",""Storage provider onboarding""]","$500/mo gateway + 3% of storage-provider transactions (min $0.25/TiB/mo)",Tiered,Advanced,"Managed Filecoin storage with a dedicated gateway, storage-provider onboarding, and transaction-based service pricing.",FALSE
cidgravity-pro,CIDgravity,,"[""[Contact](https://www.cidgravity.com/pricing)"",""[Docs](https://docs.cidgravity.com/)""]",Storage,"[""Filecoin"",""File storage"",""Dedicated gateway"",""Nextcloud""]","$500/mo gateway + $5/TiB/copy/mo",Tiered,Pro,"Filecoin storage for teams with a dedicated gateway, Nextcloud access, distributed copies, and continuous verification.",FALSE
cidgravity-starter,CIDgravity,,"[""[Buy](https://www.cidgravity.com/pricing)"",""[Docs](https://docs.cidgravity.com/)""]",Storage,"[""Filecoin"",""File storage"",""Nextcloud"",""IPFS""]","$5/TiB/mo (first 2 GiB free)",Pay-As-You-Go,Starter,"Entry-level Filecoin storage with the first 2 GiB free, desktop synchronization through Nextcloud, and IPFS retrieval.",FALSE
crust-network,Crust Network,,"[""[Website](https://crust.network/)""]",Storage,"[""Decentralized Storage""]",$0,Free,,"It is a purpose built layer 1 blockchain providing composable cloud storage solutions for developers, builders and end-users of all ecosystems",FALSE
fil-one-object-storage,Fil One,,"[""[Website](https://www.fil.one/)"",""[Docs](https://docs.fil.one/)""]",Storage,"[""Filecoin"",""S3-compatible"",""Object storage"",""No egress fees""]","$4.99/TB/mo (min $4.99/mo)",Pay-As-You-Go,,"S3-compatible Filecoin-backed object storage with recurring integrity verification and no egress or API request fees on paid plans.",FALSE
filebase-enterprise,Filebase,,"[""[Contact](https://filebase.com/pricing/)"",""[Docs](https://filebase.com/docs/)""]",Storage,"[""S3-compatible object storage"",""IPFS"",""CDN""]",Custom,Enterprise,,"Volume-priced object and IPFS storage with data migration support, dedicated support and SLA, higher name, bucket, and gateway limits, and advanced threat monitoring.",FALSE
filebase-free,Filebase,,"[""[Website](https://filebase.com/pricing/)"",""[Docs](https://filebase.com/docs/)""]",Storage,"[""S3-compatible object storage"",""IPFS"",""CDN""]",$0,Free,,"Free Filebase plan with 5 GB pooled across S3-compatible object storage or IPFS, free object egress, 500 pinned IPFS files, and one bucket.",FALSE
filebase-pay-as-you-go,Filebase,,"[""[Buy](https://filebase.com/pricing/)"",""[Docs](https://filebase.com/docs/)""]",Storage,"[""S3-compatible object storage"",""IPFS"",""CDN""]","$7.50/mo + metered overages",Pay-As-You-Go,Pro,"Filebase Pro includes 500 GB pooled across S3-compatible object storage or IPFS, free object egress, unlimited pinned files, custom domains, and CDN features, with metered storage, API-operation, and IPFS-bandwidth overages.",FALSE
filecoin-onchain-cloud-warm-storage,Filecoin Onchain Cloud,,"[""[Website](https://filecoin.cloud/warm-storage-service)"",""[Docs](https://docs.filecoin.cloud/core-concepts/fwss-overview/)""]",Storage,"[""Filecoin"",""Warm storage"",""Verifiable storage"",""Onchain payments"",""PDP""]","$2.50/TiB/mo/copy (minimum 2 copies) + $0.024/dataset/mo",Pay-As-You-Go,,"Programmable warm Filecoin storage with continuous Proof of Data Possession, proof-linked onchain payments, and service-ready retrieval.",FALSE
irys,Irys,,"[""[Website](https://irys.xyz/)"",""[Docs](https://docs.irys.xyz/)""]",Storage,"[""Arweave"",""Permanent storage"",""Data provenance"",""Pay-per-use""]",Custom,Pay-As-You-Go,,"Programmable datachain enabling permanent on-chain data storage with verifiable provenance and instant access, designed for AI and large-scale data applications",FALSE
lighthouse-enterprise,Lighthouse,,"[""[Contact](https://www.lighthouse.storage/pricing)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Hot storage"",""Encryption""]",Custom,Enterprise,,"Custom Lighthouse storage configuration tailored to project data scale and infrastructure requirements, with IPFS storage, Filecoin-backed persistence, and optional storage features.",FALSE
lighthouse-free,Lighthouse,,"[""[Website](https://www.lighthouse.storage/pricing)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Hot storage"",""Encryption""]",$0,Free,,"Free Lighthouse plan with 5 GB of IPFS hot storage backed up to Filecoin, with optional add-ons for encryption, token gating, IPNS, and migration support.",FALSE
lighthouse-lite,Lighthouse,,"[""[Buy](https://www.lighthouse.storage/pricing)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Hot storage"",""Encryption""]",$12/mo,Tiered,Lite,"Lighthouse Lite provides 500 GB of IPFS hot storage with Filecoin backup and optional add-ons for encryption, token gating, IPNS, and migration support.",FALSE
lighthouse-premium,Lighthouse,,"[""[Buy](https://www.lighthouse.storage/pricing)"",""[Docs](https://docs.lighthouse.storage/)""]",Storage,"[""IPFS"",""Filecoin"",""Hot storage"",""Encryption""]",$49/mo,Tiered,Premium,"Lighthouse Premium provides 2.5 TB of IPFS hot storage with Filecoin backup and optional add-ons for encryption, token gating, IPNS, and migration support.",FALSE
pinata-enterprise,Pinata,,"[""[Contact](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",Custom,Enterprise,,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-fiesta,Pinata,,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$100/mo,Tiered,Fiesta,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-free,Pinata,,"[""[Website](https://pinata.cloud/)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$0,Free,,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
pinata-picnic,Pinata,,"[""[Buy](https://pinata.cloud/pricing)"",""[Docs](https://docs.pinata.cloud/)""]",Storage,"[""IPFS"",""Pinning service""]",$20/mo,Tiered,Picnic,"IPFS pinning and file storage service trusted by 600,000+ developers with plans from free to enterprise",FALSE
ramo-object-storage,Ramo,Object Storage,"[""[Website](https://ramo.io/)"",""[Docs](https://docs.ramo.io/)""]",Storage,"[""Filecoin"",""S3-compatible"",""Object storage"",""Zero egress""]","$5/TB/mo; $0 egress",Pay-As-You-Go,,"S3-compatible object storage for large datasets with flat per-terabyte pricing, zero uncapped egress fees, and 100 Gbps sustained production throughput.",FALSE
storacha-extra-spicy,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$100/mo,Tiered,Extra Spicy,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storacha-medium,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$10/mo,Tiered,Medium,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storacha-mild,Storacha,,"[""[Website](https://storacha.network/)"",""[Docs](https://docs.storacha.network/)""]",Storage,"[""IPFS"",""Filecoin"",""Decentralized"",""Hot storage""]",$0,Free,Mild,"Decentralized hot storage network built on IPFS and Filecoin with petabyte-scale throughput and verifiable content-addressed data, evolved from web3.storage",FALSE
storj-advanced,Storj,Object Storage,"[""[Website](https://www.storj.io/pricing)"",""[Docs](https://storj.dev/dcs/pricing/simplified)""]",Storage,"[""S3-compatible"",""Distributed object storage"",""Data residency"",""SOC 2 Type II""]","$10/TB/mo storage + $7/TB egress",Tiered,Advanced,"Region-specific S3-compatible object storage for compliance and data-residency workloads, with storage in U.S. SOC 2 Type II data centers.",FALSE
storj-standard,Storj,Object Storage,"[""[Website](https://www.storj.io/pricing)"",""[Docs](https://storj.dev/dcs/pricing/simplified)""]",Storage,"[""S3-compatible"",""Distributed object storage"",""Global storage""]","$7/TB/mo storage + $7/TB egress",Tiered,Standard,"Globally distributed S3-compatible object storage with consistent worldwide performance, client-side encryption, and 11 nines durability.",FALSE
swarm,Swarm,,"[""[Website](https://www.ethswarm.org/)"",""[Docs](https://docs.ethswarm.org/docs/)""]",Storage,"[""Decentralized"",""P2P storage""]",Custom,Pay-As-You-Go,,"Decentralized P2P storage and communication infrastructure for building censorship-resistant serverless dapps",FALSE
zeeve-build,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$199/mo,Tiered,Build,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-enterprise,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",Custom,Enterprise,,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-free,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$0,Free,,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-growth,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$999/mo,Tiered,Growth,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
zeeve-launch,Zeeve,,"[""[Website](https://www.zeeve.io/zeeve-distributed-file-system/)""]",Storage,"[""Distributed File System""]",$20/mo,Tiered,Launch,"It provides the most secure, easy-to-use, and easily integrable decentralized storage service",FALSE
