slug,provider,offer,actionButtons,technology,txSpeedSla,throughputSla,openSource,support,starred,availableApis,monitoringAndAnalytics,additionalFeatures,assetTypes,price,economicalSecurity,economicalSecurityNote,auditsPerformed,decentralizationModel,sdk,supportedChains,tag
chainport,ChainPort,,"[""[Bridge](https://app.chainport.io/)"",""[Docs](https://docs.chainport.io/)""]",Cross‑chain Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Fast transfer"",""Low fee (0.3%)""]","[""ETH"",""ERC‑20""]",Gas Fee + 0.3% fee,TRUE,Smart contract custody with optional insurance,,Partially Decentralized,"[""Web UI""]","[""ethereum"",""arbitrum"",""avalanche"",""base"",""optimism"",""linea"",""cardano"",""bnb chain"",""polygon"",""fantom"",""dogechain"",""telos"",""moonriver"",""aurora"",""conflux"",""opbnb"",""humanode"",""step"",""stratis"",""rootstock"",""iota evm"",""chillz"",""neurochainai"",""iron fish"",""argochain"",""boba""]",
chainsafe-filecoin,ChainSafe,ChainSafe Systems,"[""[GitHub](https://github.com/ChainSafe/filecoindot)""]",Substrate-Based Bridge,,,TRUE,"[""Discord"",""Telegram""]",FALSE,"[""REST"",""SDK""]","[""Partial – dev dashboards""]","[""Filecoin ↔ Substrate chains (experimental)""]","[""FIL"",""wFIL""]",,TRUE,Open-source bridge/relayer framework built by ChainSafe; auditing for full Filecoin bridge not publicly final.,,Semi-decentralized,"[""Rust"",""JavaScript""]","[""Polkadot Substrate-based chains, potentially Filecoin""]",
chainspot,Chainspot,,"[""[Bridge](https://app.chainspot.io/)"",""[Docs](https://docs.chainspot.io/)""]",Bridge Aggregator,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Bridge Aggregation""]",,"[""Multi‑bridge routing"",""Cross‑chain explorer""]","[""ETH"",""ERC‑20""]",Depends on selected route,TRUE,Inherits security from underlying bridges,,Aggregator,"[""Web UI""]","[""ethereum"",""polygon"",""bnb chain"",""arbitrum one"",""avalanche"",""fantom"",""telos"",""boba"",""optimism"",""harmony"",""moonriver"",""moonbeam"",""okxchain"",""aurora"",""evmos"",""fuse"",""cronos"",""gnosis"",""celo"",""venom testnet"",""base"",""linea"",""polygon zkevm"",""scroll"",""mantle"",""zksync"",""boba beam"",""kava"",""wanchain"",""tron"",""rootstock"",""fraxtal"",""bsquared(b2)"",""zklink"",""bahamut"",""mint"",""bevm"",""bob"",""bitlayer"",""blast"",""mode"",""taiko"",""ton""]",
connext,Connext,,"[""[Bridge](https://www.connext.network/)"",""[Docs](https://docs.connext.network/)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Transfers"",""Liquidity Provision""]",,"[""Low fee intent-layer bridging"",""xERC‑20 tokens""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Security inherits from canonical settlement networks,,Decentralized,"[""TypeScript SDK"",""Web UI""]","[""ethereum"",""bnb chain"",""gnosis"",""metis"",""arbitrum"",""optimism"",""base"",""linea"",""mode""]",
crosscurve,CrossCurve,,"[""[Bridge](https://app.crosscurve.fi/)"",""[Docs](https://docs.crosscurve.fi)""]",NFT & Token Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""NFT Transfer"",""Asset Transfer""]",,"[""NFT badge bridge"",""EYWA integration""]","[""ERC‑20"",""ERC‑721""]",Gas Fee,TRUE,Modular design with relayer fallback,,Modular,"[""Web UI""]","[""ethereum"",""bnb chain"",""gnosis"",""metis"",""arbitrum"",""optimism"",""base"",""linea"",""mode"",""celo"",""cronos"",""fraxtal"",""ink"",""manta"",""polygon"",""taiko"",""xdc"",""avalanche"",""blast"",""corn"",""kava"",""mantle"",""morph"",""sonic"",""tron"",""unichain"",""core"",""fantom"",""hyperliquid"",""tac"",""unit-zero""]",
debridge,deBridge,,"[""[Bridge](https://app.debridge.com/)"",""[Docs](https://docs.debridge.com/)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Rate Guarantee""]",,"[""Deep liquidity"",""Guaranteed rates""]","[""ETH"",""ERC‑20""]",Gas Fee + small protocol fee,TRUE,Economic security via settlement networks,,Decentralized,"[""Web UI"",""SDK""]","[""ethereum"",""bnb chain"",""polygon"",""arbitrum"",""avalanche"",""solana"",""linea"",""optimism"",""base"",""tron"",""hyperevm"",""gnosis"",""sonic"",""plasma"",""abstract"",""berachain"",""story"",""neon"",""flow"",""bob"",""mantle"",""sophon"",""sei""]",
defiway-bridge,Defiway.Bridge,,"[""[Bridge](https://defiway.com/bridge/)""]",Cross‑chain Transfer,NULL,NULL,FALSE,"[""Website Form"",""Email""]",FALSE,"[""Stablecoin Transfer""]",,"[""Fast transaction speeds""]","[""Stablecoins""]",Gas Fee,FALSE,"Multisig validation, liquidity pools","[""Audited by Certik""]",Decentralized,"[""Web UI""]","[""ethereum"",""arbitrum"",""base"",""solana"",""linea"",""optimism"",""plasma"",""polygon"",""ton"",""bnb chain"",""bitcoin"",""tron"",""scroll""]",
ecoportal,Eco Portal,,"[""[Bridge](https://portal.eco.com/)"",""[Docs](https://eco.com/docs/getting-started/introduction/what-is-eco)""]",Stablecoin Router,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Transfer"",""Bridge Routing""]",,"[""Route optimization"",""Low fees""]","[""USDC"",""USDT""]",Gas Fee + minimal service fee,TRUE,Security via route providers,,,"[""Web UI"",""SDK""]","[""ethereum"",""arbitrum"",""base"",""celo"",""ink"",""optimism"",""plasma"",""polygon"",""sonic"",""unichain""]",
enosys-bridge,Enosys,Bridge,"[""[Bridge](https://bridge.enosys.global)""]",Wrap & Asset Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""ERC‑20 Transfer""]",,"[""Wrap/unwrap across XDC and Flare ecosystems"",""High‑yield bridge integration""]","[""ERC‑20""]",Gas Fee + wrap fee,TRUE,"Fireblocks optional custody, regulated compliance","[""Independent audits""]",Partially Decentralized,"[""TypeScript""]","[""ethereum"",""flare"",""xdc""]",
garden,Garden,,"[""[Bridge](https://app.garden.finance)"",""[Docs](https://docs.garden.finance/)""]",BTC‑to‑ETH Swap Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap""]",,"[""BTC → ETH swap in ~10 min""]","[""BTC"",""ETH""]",Swap fee,TRUE,Relayer‑based swap execution,,Decentralized,"[""Web UI""]","[""ethereum"",""arbitrum"",""base"",""berachain"",""bitcoin"",""bnb chain"",""botanix"",""core"",""corn"",""hyperevm"",""solana"",""starknet"",""sui"",""unichain""]",
gas-zip,Gas.zip,Bridge,"[""[Bridge](https://www.gas.zip/)"",""[Docs](https://dev.gas.zip/)""]",Gas Refuel Bridge,,,TRUE,"[""discord"",""telegram""]",FALSE,"[""REST""]","[""Gas.zip Explorer"",""Transaction status"",""User history""]","[""Multi-destination gas refueling"",""60-second guaranteed quotes""]","[""Native gas tokens""]",,FALSE,,,,,,"[""Gas refuel"",""Cross-chain""]"
hop,Hop,,"[""[Bridge](https://app.hop.exchange/)"",""[Docs](https://docs.hop.exchange/developer-docs/)""]",Layer-2 Token Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Token Transfer""]",,"[""h-token intermediaries"",""AMM bonds""]","[""ERC-20""]",Gas Fee + liquidity fee,TRUE,Liquidity provider bonds via AMM model,"[""Multiple audits""]",Decentralized,"[""TypeScript""]","[""ethereum"",""arbitrum one"",""arbitrum nova"",""polygon pos"",""gnosis"",""polygon zkevm"",""base"",""linea"",""optimism""]",
hyperlane,Hyperlane,,"[""[Bridge](https://www.hyperlane.xyz/)"",""[Docs](https://docs.hyperlane.xyz/)""]",Cross‑chain Messaging,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Messaging"",""Asset Transfer""]",,"[""Modular Interchain Security"",""Warp Routes (Bridging)""]","[""ERC‑20""]",Gas Fee,TRUE,Economic security via modular ISMs and validator staking,,Decentralized,"[""TypeScript CLI""]","[""abstract"",""ancient8"",""apechain"",""aleph zero"",""arbitrum"",""artela"",""arthera"",""avalanche"",""astar"",""astar zkevm"",""aurora"",""base"",""berachain"",""bitlayer"",""blast"",""bob"",""boba"",""bnb chain"",""birdlayer"",""bittensor"",""bnb chain"",""b3"",""camp"",""celo"",""cheesechain"",""chillz"",""citrea"",""coin98"",""conflux"",""coredao"",""corn"",""cyber"",""degen chain"",""dogechain"",""eclipse"",""endurance"",""ethereum"",""ebi"",""everclear"",""evmos"",""fantom"",""form"",""fraxtal"",""flame"",""flare"",""flow"",""forma"",""fuel"",""fuse"",""gnosis"",""gravity"",""hyperevm"",""harmony"",""hemi"",""henez"",""immutable"",""inevm"",""injective"",""ink"",""karak"",""kroma"",""kyros"",""linea"",""lisk"",""lumia"",""layeredge"",""logx"",""lukso"",""manta"",""manta pacific"",""mantle"",""matchain"",""metal"",""metis"",""merlin"",""mint"",""mode"",""miracleplay"",""mitosis"",""molten"",""moonbeam"",""morph"",""neutron"",""noble"",""nero"",""optimism"",""oort"",""orderly"",""osmosis"",""polygon"",""polygon cdk"",""polynomial"",""prom"",""proof of play"",""ronin"",""rari"",""re.al"",""redstone"",""rootstock"",""sei"",""solana"",""sanko"",""soneium"",""sonic"",""sonic svm"",""soon"",""sophon"",""starknet"",""stride"",""scroll"",""shibarium"",""snapchain"",""story"",""superposition"",""swell chain"",""superseed"",""trump chain"",""telos"",""treasure"",""taiko"",""tangle"",""unichain"",""viction"",""vana"",""x layer"",""xai"",""zero network"",""zircuit"",""zetachain"",""zklink"",""zora""]",
interport,Interport Finance,,"[""[Bridge](https://app.interport.fi)"",""[Docs](https://docs.interport.fi)""]",Meta‑DEX Cross‑chain Swap Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Single‑chain DEX routing""]",,"[""Meta-Dex aggregation"",""Bridge-free routing""]","[""ERC‑20"",""Stablecoins""]",Swap fees,TRUE,Aggregates cross-chain messaging,"[""Audits available""]",Decentralized,"[""TypeScript""]","[""ethereum"",""solana"",""arbitrum"",""bnb chain"",""blast"",""zksync"",""base"",""scroll"",""optimism"",""linea"",""manta pacific"",""polygon"",""opbnb"",""avalanche"",""eon"",""fantom"",""sui"",""aptos"",""kava"",""metis"",""mantle"",""sei"",""aurora"",""corel"",""berachain"",""inkl"",""kaia"",""iota"",""taiko"",""rari"",""flare"",""gravity"",""lightlink"",""plume"",""abstract"",""flow"",""gnosis"",""astar"",""celo"",""sonic"",""soneium"",""mind"",""hemi"",""rootstock"",""hyperevm"",""world chain"",""codex"",""unichain"",""botanix"",""tac"",""bitlayer"",""hedera"",""mode"",""ronin"",""shibarium"",""wemix"",""zircuit"",""b²"",""bob"",""xdc"",""plasma"",""og"",""corn"",""katana"",""hashkey""]",
jumper,Jumper.Exchange,,"[""[Bridge](https://jumper.exchange/)"",""[Docs](https://jumper.exchange/learn)""]",Cross‑chain Swaps,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer"",""Swap""]",,"[""Simple swap + bridge""]","[""ETH"",""ERC‑20""]",Gas Fee + swap fee,TRUE,Security via smart contracts,,Decentralized,"[""Web UI"",""API""]","[""ethereum"",""arbitrum"",""solana"",""polygon"",""gnosis"",""blast"",""base"",""linea"",""optimism"",""avalanche"",""scroll"",""zksync"",""polygon zkevm"",""fantom"",""moonriver"",""moonbeam"",""fuse"",""boba"",""mode"",""metis"",""lisk"",""unichain"",""aurora"",""sei"",""hyperliquid"",""immutable zkevm"",""flare"",""sonic"",""vana"",""gravity"",""taiko"",""soneium"",""swellchain"",""bitcoin"",""ronin"",""opbnb"",""corn"",""lens"",""cronos"",""fraxtal"",""abstract"",""rootstock"",""apechain"",""celo"",""etherlink"",""world chain"",""xdc"",""mantle"",""sophon"",""superposition"",""ink"",""bob"",""katana"",""berachain"",""kaia"",""sui"",""plasma"",""plume"",""hyperevm""]",
layerswap,Layerswap,,"[""[Bridge](https://layerswap.io/app)"",""[Docs](https://docs.layerswap.io/introduction)""]",Cross‑chain Swaps,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Exchange <> L2 bridging""]","[""ETH"",""ERC‑20""]",Gas Fee + small service fee,TRUE,Bridging secured through centralized custody & partners,,Partially Decentralized,"[""Web UI""]","[""abstract"",""ancient8"",""arbitrum one"",""arbitrum nova"",""avalanche"",""base"",""berachain"",""bitcoin"",""blast"",""bob"",""bnb chain"",""celo"",""eclipse"",""ethereum"",""fuel ignition"",""fuse"",""gnosis"",""gravity"",""hyperevm"",""hashkey chain"",""immutablex"",""immutable zkevm"",""ink"",""kaia"",""katana"",""linea"",""lisk"",""lightlink"",""loopring"",""manta pacific"",""mantle"",""matchain"",""mint"",""mode"",""morph"",""nahmii"",""optimism"",""opbnb"",""polygon"",""polygon zkevm"",""plasma"",""paradex"",""ronin"",""rari"",""redstone"",""sei"",""solana"",""shape"",""soneium"",""sonic"",""soon"",""sophon"",""starknet"",""scroll"",""superposition"",""superseed"",""taiko"",""ton"",""unichain"",""world chain"",""xai"",""x layer"",""xai"",""zero"",""zircuit"",""zetachain"",""zksync lite"",""zksync era"",""zora""]",
layerzero,LayerZero Labs,,"[""[Bridge](https://layerzero.bridge.harmony.one/one)"",""[Docs](https://docs.layerzero.network/v2)""]",Omnichain Messaging & OFT,NULL,NULL,TRUE,"[""Discord"",""Email""]",FALSE,"[""REST API"",""GraphQL""]","[""Blockscout"",""Custom Dashboards""]","[""Omnichain Fungible Token"",""Unified Liquidity Pools"",""Cross‑chain Governance""]","[""ETH"",""ERC‑20 OFT""]",Gas Fee,TRUE,Configurable DVN consensus across chains,"[""Ackee Blockchain Protocol Audit (Mar 2022)"",""ChainSecurity OFT/OApp Audit"",""Zellic Core Audit""]",Decentralized,"[""TypeScript""]","[""ethereum"",""bnb chain"",""base"",""linea"",""arbitrum"",""harmony""]",
lifi,LI.FI,,"[""[Bridge](https://li.fi/)"",""[Docs](https://docs.li.fi/introduction/introduction)""]",Cross-chain Bridge Aggregator,NULL,NULL,FALSE,"[""Discord"",""Twitter"",""Email""]",FALSE,"[""LI.FI API""]","[""Analytics Dashboard""]","[""Aggregates multiple bridges & DEXs""]","[""ERC-20"", ""ERC-721""]",Gas Fee,TRUE,"Validator nodes, Aggregated security from multiple bridges",,Decentralized,"[""JavaScript SDK""]",,
linea-native,Linea,,"[""[Bridge](https://linea.build/bridge)"",""[Docs](https://docs.linea.build/network/how-to/bridge)""]",Cross-chain Messaging,,,TRUE,"[""Discord""]",TRUE,"[""Asset Transfer""]","[""Blockscout"",""Custom Dashboards""]","[""Fast Bridging"",""Ethereum Security""]","[""ETH"",""ERC-20""]",Gas Fee,TRUE,Inherits Ethereum L1 security,,Centralized,"[""TypeScript""]","[""ethereum"",""linea""]",
mayan,Mayan Finance,,"[""[Bridge](https://swap.mayan.finance/)"",""[Docs](https://docs.mayan.finance)""]",Intent-based Cross-chain Swap Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross-chain Swap""]",,"[""Built on Wormhole Token Bridge"",""One-click auction swaps""]","[""ERC-20"",""Stablecoins""]",Wormhole gas + swap fee (~0.1%),TRUE,Wormhole primitives + swap auction logic,,Decentralized,"[""TypeScript""]","[""ethereum"",""bnb chain"",""base"",""linea"",""arbitrum"",""optimism"",""sui"",""unichain"",""hyperevm"",""solana"",""polygon"",""avalanche""]",
meson,Meson,,"[""[Bridge](https://meson.fi/)""]",Stablecoin Bridge,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Stablecoin Swaps""]",,"[""USDT/USDC optimization"",""Fast settlement""]","[""USDT"",""USDC""]",Low Fee,TRUE,Secured via cryptographic proofs and liquidity partners,"[""Trail of Bits""]",Decentralized,"[""Web UI""]","[""ancient8"",""arbitrum"",""avalanche"",""base"",""berachain"",""bitlayer"",""blast"",""bob"",""bnb chain"",""b² network"",""celo"",""cronos"",""ethereum"",""gnosis"",""hashkey chain"",""hemi"",""kava"",""linea"",""manta"",""mantle"",""merlin"",""metis"",""mode"",""moonbeam"",""morph"",""opbnb"",""optimism"",""plume"",""polygon"",""polygon zkevm"",""scroll"",""sei"",""skale europa"",""skale nebula"",""skale calypso"",""solana"",""soneium"",""starknet"",""taiko"",""tron"",""zetachain"",""zircuit"",""zksync era"",""meme core"",""exsat"",""zklink nova"",""x layer"",""conflux espace"",""sonic"",""aurora"",""kroma"",""aptos"",""sui"",""zkfair"",""map protocol"",""core"",""inevm"",""bouncebit"",""bevm"",""ailayer"",""iotex"",""ckb"",""duckchain"",""neo x"",""corn"",""taker"",""thundercore"",""rootstock"",""hyperevm"",""plasma""]",
messina,MessinaOne,Bridge,"[""[Bridge](https://messina.one/bridge)"",""[Docs](https://messinaone.gitbook.io/messina/)""]",Cross‑chain Bridge via Wormhole,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Asset Transfer""]",,"[""Wormhole integration"",""Liquidity pools""]","[""ETH"",""ERC‑20""]",Gas Fee,TRUE,Audited by Certik & Kudelski,"[""Certik"",""Kudelski Security""]",Partially Decentralized,"[""Web UI""]","[""ethereum"",""bnb chain"",""base"",""algorand"",""arbitrum"",""optimism"",""aptos"",""polygon"",""avalanche""]",
okutrade,Oku Trade,,"[""[Bridge](https://oku.trade)"",""[Docs](https://docs.oku.trade/home/)""]",Bridge & Swap Meta‑Aggregator,NULL,NULL,TRUE,"[""Discord""]",FALSE,"[""Cross‑chain Swap"",""Bridge Aggregation""]",,"[""DeFi aggregator across 18 EVM chains"",""Uniswap v3 trading frontend""]","[""ERC‑20"",""Stablecoins""]",Gas Fee + bridge/DEX fees,TRUE,"Aggregates best bridge/swap rates, non‑custodial routing","[""Uniswap Foundation funded, no exploit""]",Decentralized,"[""TypeScript""]","[""ethereum"",""bnb chain"",""base"",""zksync era"",""arbitrum"",""optimism"",""taiko"",""polygon"",""avalanche"",""sei"",""scroll"",""rootstock"",""filecoin"",""boba"",""telos"",""lightlink"",""saga evm"",""hemi"",""xdc"",""unichain"",""sonic"",""redbelly"",""lens"",""world chain"",""matchain"",""goat"",""mantle"",""nibiru"",""plasma"",""celo"",""etherlink"",""linea"",""bob"",""corn"",""gnosis""]",
